time,d,rssi
1650976986.0,6.0,85.0
1650976986.0,1.0,57.0
1650976986.0,9.0,85.0
1650976987.0,6.0,80.0
1650976987.0,9.0,90.0
1650976988.0,9.0,84.0
1650976989.0,6.0,69.0
1650976989.0,1.0,61.0
1650976989.0,3.0,61.0
1650976989.0,1.0,62.0
1650977029.0,1.0,57.0
1650977030.0,6.0,86.0
1650977031.0,9.0,81.0
1650977032.0,6.0,81.0
1650977032.0,1.0,56.0
1650977032.0,3.0,66.0
1650977033.0,1.0,63.0
1650977034.0,3.0,63.0
1650977034.0,9.0,81.0
1650977035.0,1.0,60.0
1650977035.0,3.0,64.0
1650977036.0,9.0,79.0
1650977037.0,6.0,69.0
1650977037.0,3.0,62.0
1650977037.0,9.0,81.0
1650977038.0,1.0,58.0
1650977038.0,3.0,71.0
1650977039.0,6.0,77.0
1650977040.0,1.0,56.0
1650977040.0,3.0,67.0
1650977041.0,1.0,55.0
1650977041.0,3.0,66.0
1650977042.0,9.0,74.0
1650977043.0,6.0,83.0
1650977043.0,3.0,61.0
1650977043.0,9.0,75.0
1650977044.0,1.0,65.0
1650977045.0,6.0,76.0
1650977046.0,6.0,69.0
1650977046.0,1.0,56.0
1650977046.0,9.0,77.0
1650977047.0,1.0,63.0
1650977048.0,3.0,72.0
1650977048.0,9.0,80.0
1650977049.0,6.0,76.0
1650977049.0,3.0,64.0
1650977049.0,9.0,80.0
1650977051.0,1.0,63.0
1650977051.0,3.0,66.0
1650977053.0,3.0,71.0
1650977053.0,9.0,84.0
1650977054.0,1.0,58.0
1650977055.0,6.0,85.0
1650977055.0,3.0,62.0
1650977055.0,9.0,81.0
1650977056.0,3.0,64.0
1650977056.0,9.0,77.0
1650977057.0,1.0,55.0
1650977058.0,1.0,57.0
1650977058.0,3.0,65.0
1650977058.0,9.0,85.0
1650977059.0,6.0,70.0
1650977059.0,3.0,61.0
1650977061.0,6.0,71.0
1650977061.0,1.0,69.0
1650977061.0,3.0,62.0
1650977062.0,9.0,85.0
1650977064.0,6.0,79.0
1650977064.0,1.0,64.0
1650977064.0,3.0,66.0
1650977064.0,9.0,85.0
1650977065.0,9.0,81.0
1650977067.0,6.0,81.0
1650977067.0,1.0,67.0
1650977067.0,3.0,67.0
1650977067.0,3.0,67.0
1650977067.0,9.0,85.0
1650977068.0,6.0,81.0
1650977068.0,9.0,84.0
1650977069.0,1.0,59.0
1650977070.0,3.0,66.0
1650977070.0,9.0,88.0
1650977071.0,6.0,79.0
1650977071.0,1.0,63.0
1650977072.0,3.0,60.0
1650977074.0,6.0,71.0
1650977074.0,3.0,63.0
1650977075.0,1.0,63.0
1650977075.0,3.0,61.0
1650977076.0,6.0,85.0
1650977076.0,1.0,65.0
1650977077.0,1.0,69.0
1650977078.0,6.0,77.0
1650977078.0,3.0,66.0
1650977079.0,6.0,77.0
1650977079.0,9.0,85.0
1650977081.0,1.0,56.0
1650977081.0,6.0,91.0
1650977081.0,3.0,65.0
1650977081.0,9.0,84.0
1650977083.0,6.0,83.0
1650977083.0,1.0,57.0
1650977083.0,9.0,90.0
1650977084.0,3.0,61.0
