id,type,mobile_id,number,time,rel_x,rel_y,uuid1,major1,minor1,proximity1,accuracy1,rssi1,uuid2,major2,minor2,proximity2,accuracy2,rssi2,uuid3,major3,minor3,proximity3,accuracy3,rssi3,uuid4,major4,minor4,proximity4,accuracy4,rssi4,uuid5,major5,minor5,proximity5,accuracy5,rssi5,uuid6,major6,minor6,proximity6,accuracy6,rssi6,uuid7,major7,minor7,proximity7,accuracy7,rssi7,uuid8,major8,minor8,proximity8,accuracy8,rssi8,uuid9,major9,minor9,proximity9,accuracy9,rssi9
63159deb5805616f5515d280,beacons,115571,1662361067,14:57:47,2,5,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,7,0,45.78640352,-71,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,4,0,22.42786574,-66,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,8,0,34.59438414,-69,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,9,0,22.42786574,-66,fda50693-a4e2-4fb1-afcf-c6eb07647825,1,2,0,3276.481368,-91,,,,,,,,,,,,,,,,,,,,,,,,
63159dec5805616f5515d281,beacons,115571,1662361068,14:57:48,2,5,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,9,0,14.32300848,-63,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,3,0,45.78640352,-71,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,2,0,4.817547502,-56,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,6,0,148.8321956,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159ded5805616f5515d282,beacons,115571,1662361069,14:57:49,2,5,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,5,0,89.57094251,-76,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,4,0,19.34517379,-65,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,9,0,14.32300848,-63,fda50693-a4e2-4fb1-afcf-c6eb07647825,1,2,0,1662.669848,-85,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,3,0,25.9580671,-67,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,2,0,7.721894864,-59,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,1,0,29.99257349,-68,,,,,,,,,,,,
63159dee5805616f5515d283,beacons,115571,1662361070,14:57:50,2,5,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,7,0,78.58155584,-75,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,9,0,10.54205642,-61,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,3,0,25.9580671,-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159dee5805616f5515d284,beacons,115571,1662361070,14:57:50,2,5,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,6,0,148.8321956,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159def5805616f5515d285,beacons,115571,1662361071,14:57:51,2,5,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,7,0,78.58155584,-75,fda50693-a4e2-4fb1-afcf-c6eb07647825,1,2,0,909.9450111,-80,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,9,0,14.32300848,-63,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,3,0,25.9580671,-67,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,1,0,29.99257349,-68,,,,,,,,,,,,,,,,,,,,,,,,
63159df05805616f5515d286,beacons,115571,1662361072,14:57:52,2,5,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,5,0,68.8279124,-74,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,8,0,78.58155584,-75,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,3,0,25.9580671,-67,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,1,0,29.99257349,-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159df05805616f5515d287,beacons,115571,1662361072,14:57:52,2,5,fda50693-a4e2-4fb1-afcf-c6eb07647825,1,2,0,2626.743172,-89,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,6,0,148.8321956,-80,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,2,0,14.32300848,-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159df15805616f5515d288,beacons,115571,1662361073,14:57:53,2,5,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,5,0,271.5684549,-85,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,4,0,45.78640352,-71,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,8,0,89.57094251,-76,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,9,0,45.78640352,-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159df25805616f5515d289,beacons,115571,1662361074,14:57:54,2,5,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,7,0,89.57094251,-76,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,9,0,52.53898767,-72,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,3,0,34.59438414,-69,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,2,0,16.65886864,-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159df25805616f5515d28a,beacons,115571,1662361074,14:57:54,2,5,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,4,0,45.78640352,-71,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,6,0,148.8321956,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159df35805616f5515d28b,beacons,115571,1662361075,14:57:55,2,5,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,8,0,89.57094251,-76,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,9,0,45.78640352,-71,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,1,0,148.8321956,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159df35805616f5515d28c,beacons,115571,1662361075,14:57:55,2,5,fda50693-a4e2-4fb1-afcf-c6eb07647825,1,2,0,2347.53582,-88,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,2,0,16.65886864,-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159df45805616f5515d28d,beacons,115571,1662361076,14:57:56,2,5,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,4,0,25.9580671,-67,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,8,0,45.78640352,-71,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,9,0,52.53898767,-72,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,1,0,168.3363608,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
