date,minor,accuracy,rssi
2022-04-26 21:11:08,14,802.984996,-79
2022-04-26 21:11:09,19004,35.35052989,-85
2022-04-26 21:11:09,11,15.68488048,-53
2022-04-26 21:11:09,12,277.9791399,-71
2022-04-26 21:11:10,13,366.2837502,-73
2022-04-26 21:11:10,19005,117.3223902,-96
2022-04-26 21:11:10,11,26.72270083,-56
2022-04-26 21:11:11,19002,77.01707652,-92
2022-04-26 21:11:11,14,1478.076414,-84
2022-04-26 21:11:11,13,277.9791399,-71
2022-04-26 21:11:11,11,52.53898767,-60
2022-04-26 21:11:11,19003,22.09483195,-81
2022-04-26 21:11:12,13,1662.669848,-85
2022-04-26 21:11:12,12,85.01840418,-63
2022-04-26 21:11:13,11,85.01840418,-63
2022-04-26 21:11:14,13,1163.147271,-82
2022-04-26 21:11:14,12,115.8186631,-65
2022-04-26 21:11:14,14,1312.133233,-83
2022-04-26 21:11:15,11,31.76147205,-57
2022-04-26 21:11:15,12,115.8186631,-65
2022-04-26 21:11:16,13,909.9450111,-80
2022-04-26 21:11:16,19001,105.7709347,-95
2022-04-26 21:11:16,14,2095.32003,-87
2022-04-26 21:11:16,11,15.68488048,-53
2022-04-26 21:11:16,12,181.1177218,-68
2022-04-26 21:11:17,19003,28.01117503,-83
2022-04-26 21:11:17,12,181.1177218,-68
2022-04-26 21:11:18,11,18.77774356,-54
2022-04-26 21:11:18,19003,28.01117503,-83
2022-04-26 21:11:19,13,419.2895897,-74
2022-04-26 21:11:19,14,546.5037808,-76
2022-04-26 21:11:20,19003,35.35052989,-85
2022-04-26 21:11:20,12,181.1177218,-68
2022-04-26 21:11:20,19003,39.64444522,-86
2022-04-26 21:11:21,13,277.9791399,-71
2022-04-26 21:11:21,12,72.58934229,-62
2022-04-26 21:11:21,14,1312.133233,-83
2022-04-26 21:11:22,13,241.4693982,-70
2022-04-26 21:11:22,19003,44.40913628,-87
2022-04-26 21:11:22,19004,143.9071696,-98
2022-04-26 21:11:22,11,22.42786574,-55
2022-04-26 21:11:22,19003,35.35052989,-85
2022-04-26 21:11:22,14,909.9450111,-80
2022-04-26 21:11:23,13,241.4693982,-70
2022-04-26 21:11:23,19003,35.35052989,-85
2022-04-26 21:11:23,12,61.83033782,-61
2022-04-26 21:11:24,11,44.5346694,-59
2022-04-26 21:11:25,13,1029.561411,-81
2022-04-26 21:11:25,11,37.65650266,-58
2022-04-26 21:11:26,13,1163.147271,-82
2022-04-26 21:11:26,12,134.7243948,-66
2022-04-26 21:11:26,14,2095.32003,-87
2022-04-26 21:11:27,11,44.5346694,-59
2022-04-26 21:11:28,13,1163.147271,-82
2022-04-26 21:11:28,11,13.07237593,-52
2022-04-26 21:11:28,12,115.8186631,-65
2022-04-26 21:11:28,14,1662.669848,-85
2022-04-26 21:11:29,19003,31.48560776,-84
2022-04-26 21:11:29,12,134.7243948,-66
2022-04-26 21:11:29,14,707.4774921,-78
2022-04-26 21:11:30,13,366.2837502,-73
2022-04-26 21:11:30,19003,35.35052989,-85
2022-04-26 21:11:30,12,134.7243948,-66
2022-04-26 21:11:30,19002,143.9071696,-98
2022-04-26 21:11:30,14,622.3199556,-77
2022-04-26 21:11:31,19001,159.1413852,-99
2022-04-26 21:11:32,11,15.68488048,-53
2022-04-26 21:11:32,19003,39.64444522,-86
2022-04-26 21:11:32,14,707.4774921,-78
2022-04-26 21:11:32,19003,44.40913628,-87
2022-04-26 21:11:33,13,181.1177218,-68
2022-04-26 21:11:33,11,18.77774356,-54
2022-04-26 21:11:34,19003,39.64444522,-86
2022-04-26 21:11:34,12,72.58934229,-62
2022-04-26 21:11:34,14,1478.076414,-84
2022-04-26 21:11:34,13,181.1177218,-68
2022-04-26 21:11:34,11,9.027046541,-50
2022-04-26 21:11:34,19003,105.7709347,-95
2022-04-26 21:11:34,14,802.984996,-79
2022-04-26 21:11:35,13,622.3199556,-77
2022-04-26 21:11:36,19004,69.13968327,-91
2022-04-26 21:11:36,11,26.72270083,-56
2022-04-26 21:11:36,19003,28.01117503,-83
2022-04-26 21:11:37,19004,69.13968327,-91
2022-04-26 21:11:37,12,156.3746411,-67
2022-04-26 21:11:37,19001,194.0523608,-101
2022-04-26 21:11:37,11,72.58934229,-62
2022-04-26 21:11:37,19001,39.64444522,-86
2022-04-26 21:11:37,14,6183.3493,-97
2022-04-26 21:11:38,19001,44.40913628,-87
2022-04-26 21:11:39,13,1867.752525,-86
2022-04-26 21:11:39,19003,49.68990043,-88
2022-04-26 21:11:39,12,134.7243948,-66
2022-04-26 21:11:40,11,115.8186631,-65
2022-04-26 21:11:41,19003,35.35052989,-85
2022-04-26 21:11:41,13,707.4774921,-78
2022-04-26 21:11:41,19003,28.01117503,-83
2022-04-26 21:11:42,12,115.8186631,-65
2022-04-26 21:11:42,14,1029.561411,-81
2022-04-26 21:11:43,11,61.83033782,-61
2022-04-26 21:11:43,19003,55.53579998,-89
2022-04-26 21:11:43,12,134.7243948,-66
2022-04-26 21:11:43,11,61.83033782,-61
2022-04-26 21:11:43,19003,28.01117503,-83
2022-04-26 21:11:43,14,1029.561411,-81
2022-04-26 21:11:44,13,622.3199556,-77
2022-04-26 21:11:44,19004,39.64444522,-86
2022-04-26 21:11:44,19002,35.35052989,-85
2022-04-26 21:11:45,19005,44.40913628,-87
2022-04-26 21:11:45,19003,24.89178377,-82
2022-04-26 21:11:45,12,181.1177218,-68
2022-04-26 21:11:45,19001,44.40913628,-87
2022-04-26 21:11:46,13,479.1073624,-75
2022-04-26 21:11:46,11,18.77774356,-54
2022-04-26 21:11:46,14,909.9450111,-80
2022-04-26 21:11:47,19004,159.1413852,-99
2022-04-26 21:11:47,14,1312.133233,-83
2022-04-26 21:11:48,13,319.3918229,-72
2022-04-26 21:11:48,11,26.72270083,-56
2022-04-26 21:11:48,12,181.1177218,-68
2022-04-26 21:11:49,13,1662.669848,-85
2022-04-26 21:11:49,12,134.7243948,-66
2022-04-26 21:11:49,14,622.3199556,-77
2022-04-26 21:11:50,12,419.2895897,-74
2022-04-26 21:11:51,14,4067.376281,-93
2022-04-26 21:11:52,13,1312.133233,-83
2022-04-26 21:11:52,11,419.2895897,-74
2022-04-26 21:11:53,19003,39.64444522,-86
2022-04-26 21:11:54,19003,39.64444522,-86
2022-04-26 21:11:54,12,134.7243948,-66
2022-04-26 21:11:54,14,802.984996,-79
2022-04-26 21:11:55,13,1163.147271,-82
2022-04-26 21:11:55,12,134.7243948,-66
2022-04-26 21:11:56,14,802.984996,-79
2022-04-26 21:11:57,11,72.58934229,-62
2022-04-26 21:11:57,19003,44.40913628,-87
2022-04-26 21:11:57,12,156.3746411,-67
2022-04-26 21:11:57,14,802.984996,-79
2022-04-26 21:11:58,13,241.4693982,-70
2022-04-26 21:11:58,19004,35.35052989,-85
2022-04-26 21:11:58,19003,95.25772824,-94
2022-04-26 21:11:58,12,134.7243948,-66
2022-04-26 21:11:58,19002,39.64444522,-86
2022-04-26 21:11:58,19001,117.3223902,-96
2022-04-26 21:11:58,19004,39.64444522,-86
